제목,본문
반려동물 약간 모성애 느낌 아니냐,난 울집 댕댕이가 내 동생이고 친구고 자식이야 내 수명 떼주는거 ㄹㅇ 고민도 안하고 떼줄수있고 대신 차에 치이고 댕댕이 살릴수도있을거같음 우리 댕댕이 위해서라면 진짜 뭐든 다 해줄수있을거같아 무인도에 댕댕이랑 고립되면 나는 못먹어도 우리 댕댕이는 먹여살릴듯 
[강아지] 귀여운 내 강아지들,ㅋㅋㅋㅋㅋ자고일어나니 톡이 된다는게 이런거구나 무료했던 나의 일상에 선물을 줘서 고마워 ㅇ 덕분에 넘넘 기분이 좋다 이 영광을 예전에 키우던 블랙탄 치와와인 소울이에게 소울이도 너무 귀엽지 해피 입양 전에 키우던 블랙탄 치와와야 갑작스러운 사로로 하늘나라에 갔지만 나중에 어차피 다시 만날거니까 괜찮아 다들 그거 알지 나중에 하늘나라가면 내가 키웠던 댕댕이들이 마중나오는거 헤 ㅎㅔ  인스타그램    여기는 강아지 사진만 올리는 내 계정이야 뭐 홍보나 그런건 전혀 없으니 안심해 ㅋㅋㅋㅋㅋ예쁘게 봐줘서 고마워
[고양이] 사무실악독한주인 36-냥댕이,안녕하세요ㅎ 요즘 자주오죵 차로어르신댁에 일주일에 회는 가서 그런듯일찍 이사시킬걸 그랬나봐요ㅋㅋ금 토 일 자고왔는데 어머 세상에차로 변태였다는 사실을 알았잖아요ㅋ금요일에 자고 올 생각은 딱히 없었으나지난 목요일 낮에 엄마가 위와같은 영상을 보내줌나를 유혹하기에 충분한 자태였고차로는 하얀색은 빛을 반사하고 검은색은 빛을 흡수한다는 사실을 몸으로 알려주고계시는 중이었음 빛나는 스타킹이다목요일 저녁먹을겸 바로 차로네 방문함차로가 좌표 잘못찍어서해먹에서 갱얼쥐 머리위로 착지함ㅋㅋㅋㅋㅋ갱얼쥐는 놀자는 줄 알고 차로에게 달려들었고강아지는 아주 신나서 노시는데 차로는 잔뜩 겁먹음ㅠ키로대 차로양 체급 차이로 질 것 같아서 이것만 찍고 바로 안아서 안방데려감성심 성의껏 차로양을 달래드림늦은 저녁을 먹었던지라 시넘어서 우린 집으로 귀가했고하원이를 엄마집에 놓고왔음하원이 사료도 엄마네집에 있고ㅋ 어차피 금요일부터 일요일까지 엄마네서 잘것이기에 그냥 놓고옴신랑은 아무생각없는데 나만 발 동동이었음차로가 패배해서 매우 언짢고 차로스트레스받을텐데 걱정함지금봐도 짱나네나만 심각했음엄마도 맨날 차로가 하원이 그렇게 안싫어한다고신랑도 노는거라그래서 아니 애가 이렇게 참패했는데  하면어 혼자 안절부절했는데저것들 같이잠그렇게 치고박고하고 같이잠나참금요일에 차로네 가자마자내가 한 일은 배쓰담임그러고보니 고양이는 배만지는거 극혐이랬는데얘는 골골송을 부름 배가 최애 장소임일반 고양이들이 싫어하는부위를 쟤는좋아함이때부터 알았어야했음 차로는 변태임차로는 가만히 있는데 하원이가 질척거림어휴 내가 차로여도 너 싫겠다덩치도 더 큰게근데 난 항상 하원이가 질척거리는것만보다가하원이가 자기 이동장 들어가서 쉬는데차로가 툭 치고 도망가는걸 목격함늬들 무슨관계니차로가 생각한것 이상으로하원이가 과하게 반응해서 싫은가봄ㅋㅋㅋ어이없음ㅋㅋㅋ그대가 먼저 건드렸잖소좋은듯 싫은듯 막상 없으면 심심한 그런존잰가봄ㅋㅋㅋ차로는 저렇게 싸우다 질것같으면 하원이 귀를 무심하원이는 처음에 입질하다가 이제 보시는바와같이저건 말인지 뭔지 차로처럼 손쓰는거 흉내중인지여튼 둘다이상함져서 피한거 아님그냥 더러워서 피한것임나 차로 어딧나 한참 찾았었음어쩜저렇게 감쪽같이 들어갔는지 의문하원이가 높은데 못올라가니 나름 높은 침대로 쉬러가신 듯 함높은데 갔졍ㅋ어림없지ㅋ 김하원 롱다리고 산책나가면 사슴같다는소리들음점프력도 사슴임처음엔 차로가 하원이 엄청 때려서 차로서열이 위라고 생각했는데 김하원 맞아도 타격  이라서 그냥차로가 더 때려도 괜히 진것같음애잔이건 이번주는 아니고 지난주 동생왔을때인데동생 경계하면서도 츄르들면 저렇게 구질구질까진 아니고여튼 자존심 내다버리는 쟤가 난 진짜 이해 불가임왜 하원이 싫어하면서 또 먼저가서 건들고 또 패배를 맛보고 저러는지 모르겠음패배감을 즐기는 고양이임차로에겐 식구들 서열이 엄마  신랑  츄르  하원  차로  나같음그래서 내가 서열 올라가려면내가 츄르를 들고 있으면 됨ㅋ 그냥 나는 서열꼴찌인데 츄르를 든 나는 하원이보다 윗서열임차로표정 내표정점점 차로가 댕댕이처럼 냑냑거리고 짖는소리내면서 때리고하원이는 짖은 적이 없는게 함정하원이는 발로 때리는 스킬이 늘고있음이제 난 고양이한마리 강아지한마리가 있는 사람이 아니라냥댕이 한마리 또 댕냥이 한마리 있는 사람임ㅠㅜ 
+) 우리 쌀이 귀여운 거 모르는 사람 없게 해주세요 ;;;;;,헐 네이트 관리자님도 저희 쌀이에게 마음을 뺏기셨나봐요널리 이 귀여움 알려지라구 이렇게 오늘의 판으로 보내시다니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ덕분에 좋은 정보들 알고가요쌀이 데려오기전에 꼭 필요한 것들만 미리 구매해놓고밥화장실 등다른 살림살이들은 하나 둘씩 늘리고 있어요그래서 발바닥 사이 털 잘라줄 가위도 처음에는 없었는데구매했어요 헤헤 다들 우리 쌀이 걱정해주시고 이뻐해주셔서 고맙습니다하나씩 공부하고 알아가는 중이에요열심히 하는 마음이 쌀이에게도 전해지기를내일 미세먼지래요 다들 마스크 챙기시고하루하루 행복하게 보내시기를 소망합니다고맙습니다 아년부터 무슨무슨 법 개정됐다고 해서맨 밑에 사진 개 더 추가했어여 헤헤 ㅎㅎㅎ여기 사진 개 이상 안 올리면 무슨무슨 법에 걸린다며그래서 일단 사진은 몇 개 준비했어 무슨무슨법에 안 걸리게 해줘 ㅠㅠ초보집사고 아깽이는 유기묘 입양했어우리 쌀이 너무 예뻐서 자랑하려구쌀이 미모 세상 널리 알려줘모바일로 작성하는 거라 어떻게 하는지 잘 모르겠어ㅠㅠ우리 아깽이 이름은 쌀이야백미 흑미 현미 색이 다 있는 삼색이라 쌀이로 지었어유기묘였는데 터앙 혼종인 거 같다고 하시더라버려진 애들이 마리였는데 다 터앙 이라구어떤 사람이 이렇게 예쁜 아이 버렸는지 모르겠어이렇게 사랑스럽구 예쁜데천사 아니야자는 거 너무 예쁘쟈나우리 쌀이 젤리 구경해젤리 얼룩이 덜룩이 너무 귀엽쟈나사진 어떻게 돌리는지 모르겠어 ㅜㅜ엄근진 쌀이사실 초보집사여서 고양이 잘 모르는데년차 견주기는 해근데 댕댕이 애정표현이랑 냥이 애정표현은 많이 달라서쪼끔 어려워그래서 열심히 고양이를 부탁해 프로그램 챙겨보면서모범집사되기 공부 열심히 하구 있어미묘 쌀이크으 내 심장처음에 데려왔을 때보호소에 있는동안 스트레스를 받아서 설사를 하고 그루밍을 제대로 못했는지 항문이랑 왼쪽 뒷다리가 짓무른 상태였어 엄청 마르기도 했구데려와서 씻기구 약 발라주는데 얌전하게 잘 있더라 ㅠㅠ아팠을텐데 ㅜㅜ자기 케어해준다고 생각해서 그랬나봐기특하게ㅠㅠ지금은 무럭무럭 성장중며칠만에 엄청 큰 거 같아 ㅋㅋㅋ잘 먹고 잘 싸고아니 등치도 작은 게 키로 댕댕이 싸는양만큼 싸네참고로 포인핸드 어플 통해서 입양했어써도되나어떤 방송에서 포인핸드 개발자 수의사님 이야기보고바로 어플 깔아서 매번 들락날락했어버려지는 아이들 보고 매번 고민하고그러다 만난 쌀이 공고 보고 꽂혀서 며칠을 고민하고 데려오게 됐어같이 발견된 아깽이들도 다 입양됐다고 하더라넘모 잘됐지 모야 ㅜㅜㅜㅜ다들 행복했으면처음 글 쓰는거라 혹시 잘못된 거 있으면 얘기해주세여ㅎㅎㅎㅎ동물이 채고야다들 사랑이들로 행복한 하루 보내 월요일 화이팅쌀이에오감사헤오  
조이 햇님이 둘이 닮은거 같지 않냐, 다음 세상에서 강아지로 태어나고 싶다고 했었죠 무슨 종으로 태어났을지 궁금한데요 햇님이랑 똑같은 말티즈로 태어나서 햇님이와 마음껏 대화을 나눠보고 싶어요어떤 생각을 하고 무슨 느낌이 드는지 정확한 이야기를 들어보고 싶어요조이가 반려견 햇님이를 생각하면서 했던 인터뷰인데반려동물 키우는 사람들은 다 같은 마음 햇님이랑 찍은 사진 올라왔는데너무기여워반려견 키우면 얼굴도 주인 닮고 성격도 주인 닮아간다는데햇님이도 조이랑 너무 닮았어ㅋㅋㅋㅋㅋㅋㅋ나도 실제로 체감중 우리 댕댕이 우리 가족이랑 성격 개똑같거든ㅋㅋㅋㅋㅋㅋㅋ못 믿을 수도 있겠지만 얼굴도 비슷비슷해져ㅋㅋㅋㅋㅋ중구난방 침대 너무 정겹고요ㅋㅋㅋ햇님이보다가 조이 보니까 합성해놓은거 같아서 더웃김ㅋㅋㅋㅋㅋ처음에 댕댕이들 치석제거용으로 먹는 치카껌인줄 알았는데건조간식 같음ㅋㅋㅋㅋㅋㅋㅋㅋ우리 애기도 저런 간식 멕이는데 힝 너무 귀엽다ㅠㅠㅠㅠㅠㅠㅠ나두 하루종일 우리 애기 안고 저렇게 누워있고만 싶다그냥 행복 그 자체일텐데기사제목이 조이 반려견 햇님의 귀여움에 넉다운함박웃음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ둘다 천사야ㅠㅠㅠㅠㅠ하ㅠㅠ댕댕이들은 정말 사랑이야나도 우리 댕댕쓰 보러간다 뿅 
[강아지] 우리집 말티즈 부부를 소개할게,하루만에 메인에 올랐다니 감사합니다 ㅠㅠㅠㅠㅠ이런게 바로 자고 일어났더니 베스트되있다는ㅋㅋㅋㅋ부부지만 출산 후 중성화는 다 마친 아이들이에용걱정해주셔서 감사합니다 탄을 쓸까 말까무튼 우리 복이 미미 예뻐해쥬셔서 감사해요 이 세상 모든 댕댕이들 행복해랏블로그로 오시면 더 웃긴 사진들 많으니 구경오세요우리집 사고뭉치 복이야 여섯살이고 최강 미모를 자랑하는 말티즈지표정도 익살스럽고 사람같아서 사진찍는 재미가 있는 애야우리집 서열 중 중하위에 들어 나보다 위성격이 지랄맞고 예민해이유는 년개월정도 됐을때 파양된걸우리집으로 데려온건데 이전 집에서 괴롭힘을 많이받았는지 성격이 좀 예민하고 눈치가 빠른편이야우리집 미미야 올해 네살이고 복이 와이프분이셔남편보다 키로 더 나가는 튼튼한 몸을 자랑해눈물자국이 많아서 미모가 가려지지만눈물자국 없을땐 미미 미모도 한 미모해마찬가지로 개월때인가 어릴때 파양되서 우리집에 왔어복이는 이렇게 놀리는 재미가 있어반응이 바로바로 오거든미미는 사슴 밤비 닮았어엄청 순하고 예뻐 미미가 포악해질때는 단 한순간지 남편 바가지 긁을때야 ㅋ샤워중인 복이야이건 미미고남자는 머리빨 여자는 화장빨 개는 털빨이야마지막으로 부부 투샷 올리면서 마무리할게모두들 행쇼
김요한 솔로 티저ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,김요한 솔로 앨범 발매 플랜         컨셉 이미지 종 뮤직비디오 티저 종 리릭 이미지 포인트 안무 영상 공개되고신곡 발매후에는 두가지 버전 안무영상 나온대ㅠㅠ무려 두 가지위엔터테인먼트김요한이 오는 일 오후 시 각종 음원사이트를 통해첫 번째 디지털 싱글  노 모어를 발매한다나오잖아 김요한 솔로ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ하잖아 김요한 컴백ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ티저 공개됐는데 한컷한컷 다 너무 예쁘고요ㅠㅠ 눈물나고요위아이 그룹 활동 전에 팬송으로 내는 거라던데 음원 나오고 음방 활동도 하려나무대 활동도 해줬으면 좋겠는데 코로나때문에 어떻게 될지는 모르겠다ㅜ하진짜 개이뻐 어떡해아 참고로 이번 앨범 자이언티가 프로듀싱 했대솔로 활동한 다음에는 그룹으로도 활동하고하반기에 차아문단순적소미호 리메이크 드라마 아름다웠던 우리에게에도 출연하고ㅠㅠ들을 것 볼 것 짱짱 많다 김요한 열일해ㅠㅠㅠㅜㅜ실수로 신곡 제목 스포하고 눈치보는 댕댕이 된 김요한딱 이거 아니냐구ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ        포토북도 나옴풍년이다 풍년이야 김요한 풍년이야 행복해 
상상초월 핵인싸인 것 같은 아이돌,위키미키 최유정 인스타 라이브 중츄랑 어떻게 친해졌냐는 팬 질문에 츄랑 어떻게 처음 만났는지 이야기 해드릴까요나 진짜 걔 땜에 너무 깜짝 놀라가지고샵에서 우리 스태프 언니가 츄 불러준다길래 같이 갔어요딱 계단에서 만났는데츄는 저기 아래있고 나는 여기 위에 있는데츄가 보자마자 갑자기츄 빙의 꺄아아아아아아아아 이러는거에요 막ㅋㅋ큐ㅠㅠㅠㅋㅋㅋ그러더니 저한테츄 빙의 어머너무 좋아요나는 내가 보고싶어서 부른거라 민망해서 이러고 있는데츄가 갑자기 내 얼굴에다가츄 하트 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 내 얼굴 바로 앞에다가 대고하트그러고 나서 둘이 안았다니까그날 처음본건데츄 인싸력 무어야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ참고로 츄는 이 친구얌 깨물하트로 유명한ㅎㅎ뭔가 댕댕이 같고 귀여움ㅋㅋㅋㅋㅋㅋ 
[모두드루와] 백현이랑 아이린 잘어울리지않냐,아이린같이 사가지없고 차가운 다혈질 갑질린은 백현같이 장난꾸러기 댕댕이 강아지같은 남자가 잘어울림 ㅋ아이린한테 관심있나봐 앞에가서 재롱부려 ㅋ백현 태연보다 아이린이랑 더 잘어울려 ㅋ아이린 모해 이러는거 설레 ㅡㅜ
[개깊은빡침] 주인 없는 개면 함부로 잡아먹어도 되는겁니까?,안녕하세요저는제주도서귀포어느시골마을에살고있습니다서울 살다가제주도내려와 산지 년 차 되어갑니다제가 살고 있는 동네는 말그대로 시골마을입니다돌담길 사이사이로 낮은 집들이 있고 마을 한 가운데에 큰 고목도 있고 정자도 있어요젊은 사람보다는 어르신들 특히 노인들이 많으시죠저랑 예비신랑은 이 동네에서 개 세 마리와 함께 살고 있습니다이 개 세 마리도 제주도의 한 당근밭에서 꼬물이 시절에 버려져 있던 걸 구조한 애들이예요며칠 전부터 동네에 못보던 작은 누렁이 한 마리가 돌아다니더라구요그늘 밑에 가만히 앉아서 헥헥거리고 있다가도동네 사람들 누구든 사람을 마주치기만 하면 꼬리를 붕붕 소리가 나도록 흔들면서쫄쫄 쫓아다닐만큼 사람을 좋아하고 따랐어요얼굴도 예쁘장하게 생겨서 털상태도 뽀송뽀송하니 길 생활 오래 된 것 같지 않고이빨을 보니 저희 집 개들처럼 태어난지 년 정도되어 보이는어린 개였어요갈비뼈가 다 드러날 정도로 앙상하게 말랐길래 저희 집 개들 먹는 사료 한 그릇 퍼줬죠저희 개들이랑도 장난치고 재밌게 놀면서산책을 하기도 했어요공격성이란 눈꼽만치도 없고 애가 너무 순하고 착해서내심 날도 더운데 누가 데려다 키워줬음 좋겠다 하는 마음이었죠그날 저녁 편의점을 가는데 편의점 앞에 녀석이 앉아있었어요근데 왠 낡아빠진 목걸이를 하고 있더군요누가 데려다 키우려고 하나보다 하고기분이 좋아서편의점 아주머니께 저 놈어떤 분이키우려나 봐요했는데아주머니는 아주 조심스럽게 작은 목소리로 말씀하셨어요그게 아니고 동네 청년들이 내일 잡아서 먹는다고 목걸이 걸어놓은거야진짜 충격이었어요시골에선 그런 일이 더러 있다고는 들었지만 내가 사는 동네에서도 벌어지는 일일 줄은 몰랐거든요 ㅠㅠ게다가 삐쩍 말라서 살집은 커녕 가죽만 있는 녀석인데 도대체 뭘 먹겠다는건지청년들이라고 해도 사실상 아저씨들이구요 시골 동네 청년회는 거의 대 아저씨들편의점 아주머니도 강아지를 두 마리 키우시는 분인데이 작은 동네에서 장사를 하고 계시니 아마 말리고 싶어도 나서기 어려웠을 거예요내일 잡아먹을거라는 얘길 들으시고 어떻게든 멀리 쫓아보려고 겁도 주고 해보셨는데 녀석은 천진난만하게 그 자리에 붙어 있다고 하셨어요아저씨들이 내일 잡겠다고 저녁에 밥을 주셨다고 하더라구요그것도 모르고 기분 좋은 표정으로 꼬리 흔들며 쫓아오는 녀석을 보니 어찌나 속이 상한지시골이라서 이런 일 자주 있고 어쩔 수 없다는데 글쎄요도시 살다온 제가 너무 감성적인건지 주인 없이 떠도는 개라고 잡아먹어도 되는건가요얼마나 오래 사시려고 무슨 병에 걸렸을지도 모르는 동물을 막 잡아 먹나요 정말 이해할 수가 없습니다암튼 도저히 모른 척 할 수가 없어서집으로 데리고 들어와버렸습니다 ㅠㅠ아저씨들 보시면 난리 나실까봐 몰래 데려왔어요기분 나쁜 그 목걸이를 벗겨서 던져버리고 저희 개들이 쓰던 목줄로 일단 묶어두고이름을 여름이라고 지어줬어요다음날 바로 여름이를 병원 데려가서 검진 받아보니살 사이의 어린 개였고 파보에 걸렸다 자연 완치 된 아주 건강한 강아지였어요아마 어느 집에서 태어나 차 접종까지만 맞았던 것 같다고 하는걸 보니새끼 때조금 자라자마자버려진 것 같아요좀 마른 것 빼고는 기생충도 없고 구강 상태도 아주 좋았습니다 입냄새마저하나도없어요굵은 주사바늘로 피를 몇 번이나 뽑는 동안 으르렁 대지도 않고 입질 한번 할줄 모르고 그저 꼬리만 흔들고 끙끙 엄살만 피우던 너무너무 순한 녀석이예요어제 중성화수술도 마쳤고 지금은 제주시에 사시는지인 분이임보 중이십니다이젠 여름이의 평생 가족이 되어주실 분을 찾을 차례네요솔직히 우리나라는 믹스견에게 너무 인색해서 입양도 잘 안될거고 참 막막하긴 해요길을 떠돌던 아이지만 사람에게 너무도 친화적이고 해맑고 천진난만한 어린 댕댕이예요임보한지 일주일 만에 앉아 훈련 완료 배변훈련도 거의 완료된 상태입니다중대형견을 키우고 계시거나 개를 키우고 계시진 않지만 키워본 경험이 있으신 분이면 제일 좋을 것 같아요제주도면 제일 좋겠지만 국내 어디든 데려다 드릴 수 있습니다해외입양도 고려중이니 많은 관심 부탁드려요모든 문의는 카카오톡 오픈채팅에 유기견 여름이 를 검색하셔서 오시거나메일  랑  사이에 언더바  요거 있어요혹은 인스타그램을 통해 연락 주세요 구조자    임보자  휴  솔직한 심정으로는 차라리 눈을 감고 살고 싶어요이런 아이들이 왜 이렇게 많은 건지저희 집에 있는 세 마리도 아주 꼬물이일 때 버려진 애들인데 그대로 시간이 지났더라면 여름이처럼 어딘가에서 몹쓸짓을 당했을 수도 있겠죠저희 집 개들도 길바닥 출신에 족보도 없는 개들이지만 지금은 그냥 가족입니다아침마다 문 앞에 앉아있다가 제가 일어나서 나오면 온몸으로 기쁨을 표현하는 녀석들을 만나서 구조하게 된 것이 감사할 뿐이예요여름이는 운 좋게 유리멘탈에 오지라퍼인 제 눈에 띄어 구조되었지만 얼마나 많은 아이들이 길에서 맞아죽고 잡아먹힐까요참 마음이 불편한 요즘입니다저도 개고기 빼고는 다 먹는 사람이니개를 먹는 사람들을 욕하진 못하겠지만식당가서 음식 형태로 나오는 걸 사먹는거랑길에서 날 보고 좋다고 반갑다고 꼬리 흔드는 개를 데려다가 때려죽여서 해체해서 먹는건완전히 다른 얘기 아닌가요이건 개고기를 먹고 안먹고와는 좀 다른 차원의 문제 아닌가요긴 글 읽어주셔서 감사합니다 
러블리즈 유지애 가족 현실자매ㅋㅋㅋㅋㅋ,언니내가 좋아 콩이가 좋아콩이는 지애네 집 멈머진지하게 고민해봐야 한다는 지애네 친언니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ콩이가 좋냐고내가 좋냐고심각하게 고민하더니콩이가 조금 더 좋은 거 같아앆 빵터짐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ언니분 ㄹㅇ 진지하게 대답하셔섴ㅋㅋ지애 삐짐ㅋㅋ그래도 집요하게 다시 물어봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄲㅋㅋㅋㅋㅋㅋㅋㅋㄲㅋㅋㄲㄲㄲㄱㄱㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이런게 현실자매지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ마쟈 댕댕이 소듕함ㅋㅋㅋㅋㅋ댕댕이는 사랑이라구ㅋㅋㅋㅋㅋㅋ사실 나도 우리집 멈무가 더 좋긴해ㅋ 
그때 그 화제가 됐던 전설의 파파라치 샷들,안젤리나 졸리 화보아님해리포터 댕댕이 돌보미로 전직한거 아님영화 촬영 중임메간 폭스가 셀프 주유할때예쁜 딸과 그런 딸을 바라보는 더 예쁜 엄마 모니카 벨루치재익아 오늘은 바다가 보고싶구나소중한 핫도그를 안고 가는 토르핫도그 아님 딸임레이첼 맥아담스에게 길 물어보는 관광객들여자친구 수영복 입은 짐 캐리앤 해서웨이 브런치타임블레이크 라이블리와 사귈때로미오와 줄리엣 장면 재연해주는 레오나르도 디카프리오학원 가기싫어서 땡깡 피우는 아들때문에골치 아픈 샤를리즈 테론비율은 같은 인류 아닌 것 같은 켄달 제너화보아니고 파파라치샷 맞음 
자신의 이름을 선택하는 배우,여기 자신의 이름을 선택하려는 신인 배우가 있으니그 배우는 바로 댕댕이 ㅇㅇㅇㅇ레옹과 점박이라는 이름 중한 가지를 선택해야 하는 기로에 놓인 댕댕이 ㅋㅋㅋ아ㅏㅏㅏㅏㅏ넘 귀엽다 ㅠㅜㅠㅜㅠㅜㅠㅜ레옹점박아두 이름 중 고개를 좌우로 돌리며 생각 중ㅋㅋㅋㅋ그렇게 댕댕이는 레옹으로 가는 훼이크댕댕이가 선택한 이름은 점박이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ댕댕이 밀당도 할 줄 알아 ㅋㅋㅋㅋㅋㅋㅋㅋ꼬리 흔드는 거 좀 보세요 ㅠㅠ 여러분 ㅠㅠㅠㅠㅠㅠ그렇게 점박이가 된 멍멍이는아침드라마 엄마가 바람났다 에 출연 중임제목이읭ㅋㅋㅋㅋㅋㅋㅋ드라마 방영 전 진행된 온라인 제작발표회에서김형범 배우가 드라마 관전 포인트로 강아지를 뽑기도 했음ㅋㅋ드라마 포스터 촬영 때 부터심상치 않은 연기력으로배우들의 사랑을 듬뿍 받았다는 후문ㅋㅋㅋ아역 배우들과의 촬영에서도절대 짖지 않고순하게 있던 멍멍이 ㅠㅠㅠ졸귀 ㅠㅠㅠ넘 귀엽다 귀여워 ㅠㅜㅠㅜㅠㅜ점박이 ㅋㅋㅋㅋ명배우견으로 성장해서 자주 보자 ㅋㅋㅋ 
