제목,본문
피아노가 이미 있는데 또 사래요,방탈죄송해요보통이런상황일때어떻게해야할지여러의견을듣고싶어서글을써요저는예비고입니다고등학교에올라가기전취미로둘악기를배워보고싶었어요고등학교에가면학원에가지않는이상배울수있는시간도많이없을거라고생각했고정말배워보고싶은악기가생겼거든요저는몇개월이지만피아노를배운적이있어요비록기초일지라도한번배워봤기에적어도다른악기보다시작하기쉬울테고집에이미전자피아노가있기때문에비용도딱히나갈일이없어접근성도좋아잘됐다고생각했어요저보다오래배운오빠가있으니조언을구하기도쉽다고생각했구요거기다피아노를산후오빠가연주하는걸손에꼽을정도로본적이없고고등학교을들어가서부터는피아노를치는모습을전혀보지못했기에제가사용해도아무문제될게없다고생각했어요실제로피아노는오빠방에있지만먼지만뿌옇게쌓였구요엄마는오빠만괜찮다면네마음대로하라고하셨고오빠도전에엄마친구딸분에게빌려준적이있었기에아무런걱정없이어깨춤을추고있었어요오빠가학교를마치고오자저는오빠나피아노배울건데피아노좀빌려줘이렇게말했고오빠도되게장난식으로웃으면서니가이런식으로맞장구를쳐주었어요저는그에더신이나서피아노방으로옮기는것좀도와줘라며말했구요근데오빠가싫다고합니다거절당하니그제서야제가말을좀잘못한걸느껴서오빠한테독학으로피아노진짜배우고싶다고오빠피아노안쓰면나좀빌려주라이런식으로말하니오빠가응싫어안빌려줄거임이렇게말했구요왜안빌려주는거냐물으니응안빌려줘응싫음이렇게밖에밀안해주길래당근드립을쳤어요전에도그냥버리라는거당근으로팔아서만원넘게챙긴이후로당근으로가족들이드립도치고그랬거든요당근으로팔아서돈벌어서사라안그래도그럴거다뭐등등아주그냥당근에전부팔지그러냐요런식으로요암튼드립이먹혀서같이다웃고얘기하다보니어영부영넘어갔어요그게이틀전쯤이에요이번주는줌으로실시간수업하는주라서혼자집에서수업하고밥먹고수업하고과제를하는데진짜너무너무피아노가치고싶은거예요마침보는사람도없다싶어서오빠방에들어갔어요근데오우무슨개냄새가콧속을넘어서폐까지오는거예요전에는창문을열어둬서이정도는아니었는데마치모유짜기체험을하러신나게뛰어갔더니소똥이나를반기고있는것같았어요그래서후다닥방문을닫고나와서생각을했죠내가저생화학가스뺨치는곳에서아무렇지않게피아노를칠수있는가답은금방나왔지만혹시모르니환기부터시켜보자후스폰지밥뺨치는그긍정적인사고는진작버렸어야했어요환기를시키고딱들어선순간생각했죠이건아니다징징이의마음이이해가갔어요다시방문을닫고생각을했어요저피아노를정말옮겨야하나쩝답은뭐하나였죠결국옮겼어요그리고신명나게피아노를쳐댔죠톼근후돌아오신어머니께서뭐라하셨어요너너또그러다싸움난다너피아노쓰고싶으면오빠한테이용료내고써니돈으로피아노사던가오빠스트레스받겠다오빠쨔증나게하지마라등등집에멀쩡한피아노가그것도전혀사용하지않는피아노가떡하니있는데차라리돈을좀보태줄테니피아노를사라고하는엄마가이해가되지않아요또그후에는아빠가전화와서왜그러냐피아노학원을다니고싶은거냐오빠허락맡아라정말로오빠가피아노를빌려주지않으면제돈으로딜을해야하나요아니면진짜피아노를사야하는건가요댓글부탁드려요
관리받아야하는데 고민...그리고 꾸밈비 얼마나 받나요,안녕하세요조만간예물을하러갈예정인데요얼만큼해주실지도정확히모르겠고제가얼마나받아야하는지괜히신경이쓰이네요저는예단을천만원보내거든요만원예물비로다시돌려받기로했구요그럼저는얼마나받아야하는지한꾸밈비로는백에서백정도해서총천백정도받으면적당히받는건가요님들은얼마나받았는지그리고이제결혼도얼마남지않아서피부관리도들어가야하는데어제피부관리실갔다왔는데페이스회당만원짜리만원짜리만원짜리도있더라구요거기선회정도받아야한다고하더라구요회면만원인데또바디도따로관리받아야되는데그만큼의비용을투자하면웨딩때확달라지는지님들은피부관리하는데얼마나투자하셨어요그리고피부관리들어가면어느정도기간까지두고하는지궁금합니다
시아버지가 차번호 물어 부부싸움,최대한내용전달위해간단하게적을게요대화가안되서여러분들의견을들어보려올려요댓글많이부탁드려요오늘낮대뜸시아버지전화옴내차번호가뭐냐고하심그래서왜그러시냐했더니얼버무리며그냥이라시며이유를설명안하심몇번이고차번호뭐냐고묻고난왜그러시는건지물음그러면서이맞냐길래맞다하고통화종료남편과낮에통화할때이야기함아버님전화오셔서다짜고짜차번호를물으시더라황당하다는내하소연이라고해야하나기분나쁘다말함퇴근후저녁먹으며이얘기하다부부싸움됨내용인즉슨어른이물어보면그냥알려주면되지왜물어보냐고뭘그렇게따지냐함나는앞뒤설명도없이다짜고짜물으시는게정상이냐이만저만해서그런데차번호가뭐냐하시는게순서아니냐이건나에대한예의가없는거다하니시아버지시어머니이겨먹으려든다며본인이장인장모님께그렇게하면좋겠냐는억지말아버님이나쁘게하려고차번호를물어봤겠냐는데나는의도가불순하고묻는이유를얘기하는게먼저다라고해도도돌이표그냥알려주면되는건데뭐가기분나쁘냐시전더황당한건아버님나랑낮에전화끈고남편한테전화함차번호물어봤는데안알려주더라고물어본이유는낮에강화도에놀러갔는데내차랑비슷한차를봤다함그럼나한테전화했을때혹시강화놀러갔냐라던가비슷한차를본거같은데앞뒤설명을해야맞는거아님그걸왜아들한테얘기하는거임며느리가안알려줘서기분나쁘다고자질하는거임자식부부싸움부추김남편도물어볼수있지이해못함나앞뒤설명있었음알려줬겠지만그게아니였기때문에의도자체가기분이나쁨그리고애키우는애엄마고집에서애보고있었음강화는무슨남편과같이볼건데제가안알려드린게잘못된거에요의견이안좁혀지고내눈엔지아빠편드는거밖에안보임어른이자식부부싸움시킨거로보임말이안통하고울화통터져서글써요댓글부탁드려요
두 동서와 두 며느리,두동서가있었습니다둘은동갑으로사이가너무나좋았습니다누가먼저랄거없이서로도와주고함께있는것조차즐거웠습니다년후동서가이혼을했습니다바람난불륜녀가새동서로들어왔습니다혼자서집안일을하는거물론어렵지않았습니다그러나점점화가나더군요누군일하고누군다음날오고저도이제가지않습니다시간이흐르고오늘신랑에게이런이야기를들었습니다둘이똑같이안오는데불륜녀새동서는아무일도안해도일이끝나는다음날죄송하다사과하고어떤핑계라도된다고합니다그런데너는핑계도되지않아더욕을먹는다고전거짓말을하고싶지않습니다어떻게해야할까요
헤어지고 한달지나서 전화온 이유,헤어지고한달지나고저녁에전화가왔는데전남친번호였습니다일부러안받았습니다전화한이유가간절했으면제가전화안받았어도카톡으로도말할수있지않나요술김에전화한것같은데그냥한거였으면애초에하지를말던지제가쉽게보인건가요
작년 외도녀 관련댓글로 고소당햇다네여,작년상간녀글중에혹시박제해놓으시거나하신분계실까요제가고소를당했다해서요너무어이가없어서바로내용들어갈게요작년월달정도경글이라는데상간녀관련글들막올라왓는데제가댓글로고소를당햇다네요근데욕을한것도아니고피해자분이억울하다고올린글인데그피해자분에게의문문으로댓글달앗거든요대략내용은혹시배우자분이상간남한테자기는결혼해서도행복한적이없고억지로한결혼이다맞고산다이런식으로입털고상간남집안에도그런식으로말한거아니에요그러니까정상적인집안이아니지않냐며당당하지일케쓴걸로고소햇다해서출석까지해야되네요저는지금까지가해자들을욕하는댓글단적없고피해자분들이쓴글에위로하거나그런거위주로달앗는데저내용이제가고소를당할껀덕지인지너무어이가없네요진짜뭐수사관님말로는대량고소들어갔다고저말고도다른분들도고소당했을거같은데연락받으신분있으세여여기해당관련글몇명기억나는데어느상간녀관련글인지는기억이안나서요그리고하도어이가없어서지금저게고소할글이냐고하는데어쨋든출석은해야된다네요피해자분에게물어보는의문문마저고소가가능하면이건뭐참나다들댓글쓰실때조심하셔요
새벽 3시에 술집에서 혼자 소주마시는 여자 옆에가서,혼자오셨어요왜술을혼자마셔요이러면서말거는남자어때보임
남편이랑 조카랑 친하면 숙모입장에서 불편할까요?,안녕하세요제가물어볼게있는데요결혼하신여성분들남편조카랑친하신가요제가삼촌이랑친하거든요근데가족들중유독저랑삼촌이많이친해요제위로사촌언니오빠들도있는데언니오빠들이랑은안친하고요진짜저랑만친한사이인데제가삼촌네집가서자기도하고선물도받고그러는데숙모입장에서는어떨까요결시친보면시댁사람들불편하다이런말많잖아요저도숙모입장에서는시댁사람이니까불편하실거같아서요근데제가눈치가진짜없어요삼촌이나숙모가자고가라고하면자고가고밥먹으러오라고하면먹으러가고또숙모한테가끔제가연락해서같이밥먹자고도얘기해요숙모도저불편한데삼촌때문에그냥자고가라먹으러와라하는걸까요생각해보니까제가너무눈치가없는거같아서요심지어제가그렇게어린나이도아니에요전성인이거든요제가애기라면진심으로제가뭐귀엽거나그래서인거지만전털부숭부숭난성인인데진심으로절편하게대하시는건지모르겠어요그리고저번에만났는데숙모랑삼촌이저못만나니까너무심심하다고하더라고요이런얘기들으면별로안불편해하는거같은데제가눈치가진짜없어서모르겠어요결시친분들남편조카안불편하신가요
동생에게 전재산까지 넘길 수 있는 누나,__
머니게임 7화 요약,남자들떨어트리면번님은살아남을수있을꺼같아요그건내가알아서할께정공듀오탈락후
솔직히 임산부가 힘든게 뭐가 있어요?,몸둔해져서움직이기불편한거빼고일도안하지살림도남편이다하지음식도안하고맨날남편이사다주는거먹지남편이차태워서다니지시부모님이설설기지대중교통만타도임산부배려석차고넘치지다른나라엔존재하지도않는산후조리원까지있지도대체이나라에서임산부가힘든게뭐가있나요뭐그렇게대단한일하는것처럼으스대는거죠
지금,너옆에만나는사람이있는지없는지도알수없지만내가헛된망상하는것같아서이제그만너를놓으려고노력해볼게누구사귀고있는거면잘지내고
"형님, 동서 간에도 질투가 심한가요?",형님동서간에도질투가심한가요제가동서보다늦게결혼을했습니다그전에동서가시부모님간섭때문에아기가아픈거라고아기를안보여줬다고합니다그것때문에시부모님과동서사이도많이안좋았습니다그리고서방님은형처럼결혼하지말았어야해라는말과형이어릴때아파서내애가아픈거같다는등등이상한논리로남편을무시하는경향도있었습니다물론그럴때마다남편도말조심하라고화냈었죠그런데결혼직전동서가갑자기시부모님께와서사과를하더니요즘은아기보여준다고영상통화도한다며시어머님께서말씀하셔서그것때문에제앞에서우셨던시어머님생각에다행이라생각했습니다결혼식이끝나고시부모님댁인사드리러갔는데예전에제가써서드렸던편지를시부모님께서장식장에펼쳐서넣어놓으셨었는데아직도있길래봤더니제가쓴게아니라동서가제가쓴비슷한편지지에쓴편지였습니다동서가넣어놨다고하더라구요크게화낼일은아니지만어이가없었습니다어버이날도시부모님과식사하는데서방님이전화했는데시부모님모두안받는다며남편에게전화해서같이있냐고따지듯전화하더니이번엔동서가시부모님께전화를돌리기시작했고어머님은식사중인거알면서나중에하지라며안받으시고아버님께서통화를하셨습니다편지지일과비슷한일은종종있었지만다급한그둘을보고확신이들었습니다뭔가불안하구나하구요진짜화낼일은동서와서방님이저보고아기를낳지말라는말을했습니다처음에는신혼을즐기라더니나중에는제나이입니다를걱정하듯얘기하더니저희가아기얘기가나오니또남편에게아기를낳지말라며톡까지했고이번에는남편이그런얘기는오지랖이고사적인것이라고예의가없는말이라며화를냈습니다그러면서왜자꾸아기를가지지말라고하는지물어봤더니시부모님간섭이저를힘들게할거랍니다그런데시부모님께서방님과동서가형님네부부아기낳아도본인들아기계속이뻐해줘야한다며다짐을받고갔다는겁니다처음에는시부모님간섭때문에동서가안보여줬다는말에동서도나름이유가있었겠지라고생각했었는데이후행동이정말어이가없습니다성인이니저렇게말했으니안하겠지만또제앞에서아기가지지말라고나오면크게화낼생각입니다동서부부가저희부부에게시기질투이런거하는게맞나요앞으로자주만날일은없지만뭔가제가아기를못가지기바라는거같아찝찝하고화나고기쎈이동서를어떻게해야할지모르겠네요
카트라이더하는 40대 아줌마!,솔직히말해줘요아줌마판하는거아니까여따솔직히쓸게요같잖아요나이가몇인데편가르기를하고있어요살도넘게차이나는애들한테우쮸쮸소리들으니까좋아용저도우리엄마데려올래요그럼추해요혹시과거가해자이신가그래서그렇게누구하나고립시키고왕따시키려거애를쓰낰진짜나이를허투로먹었나바근데요어떡하져저절대져줄생각없거든요저어르신들공경하구존경하는사람인데요꼰대가저한테공격하는것까지맞아주는은아니라서요오히려몇대더때리지앞으로잘지내봐요님같은여왕벌노릇하는사람들저희회사에도종나많아서넘잘알아여애도있으시다면섴본인애똑같이당하길바래요남한테상처줘놓고혹시빠져나갈생각은아니져저아줌마때메게임들어가기무서워요또제욕할까봐
시댁 모임을 좋아하시는 분들과 아닌 분들 중 어느쪽...,안녕하세요매번설명하기귀찮아서이해시키기를포기했더니시댁을싫어하는사람이되었습니다요즘자꾸남편의형제쪽에서모두모이기를원합니다박일로잡아서낮에는낚시하고저녁에맛있는거먹으면좋지않냐고요낚시계속걷거나둘셋정도작고작은모터보트타고나가서베스배스베쓰이런이름의고기를잡는거예요남편이얘기하길래무슨시댁가는거를휴양지여행가는것처럼말해낮에아주버니재밌는낚시하고저녁에손가락하나까딱안하고차려주는밥먹고일어나서치우기를해뭐를해왜혼자좋은거를다같이좋은것처럼말해라고했더니남편기분이상했어요왜형수가안좋아할거라고생각하냐고좋아한다고참고로시댁은여자들이모든가사일을다해요시어머니와형님동서가밥을차려요다차리면남자들이와요앉아서낮에먹은국이없네어제먹은김치맛있던데그반찬없나말만해요바로바로여자들이대령해드려요고기먹을때는셋이서열심히굽고있어요다모이면명이예요밥다먹으면물물줘도아니고물숭늉도찾아요시어머니식사하시다일어나서숭늉끓여요여자는돈갖는거아니라고세뱃돈도손자만줘요이런시댁은그래도여럿있을것같아서쓰는거예요가장약한이야기예요진짜뜨악하는건누가알아볼까못쓰고저게아주약과인곳이라면시댁이어떤지느낌이올까요이시국에명모두모여야하는지전제친구도안만나요우리는따로시부모님만뵙자방개화장실개를명이다닥붙어자고불편하게해야하는지자꾸모이자는시댁짜증이벌컥나네요
머니게임 성별대결 남자 패,이미판은남녀대결구도로쏠렸는데그와중에스윗한남섞여있어서남자들단합안되고다른남자들탈락시킨후에이용가치떨어지니까남은남자들도버려짐남페미들아저게현실이야
"언론 백신, 아버지 어머니 걱정에 속 탑니다",대체왜이렇게언론은과잉불안보도를좋아하는걸까요클릭수가나오니그러겠지싶지만화이자아나필락시스가만명중명혈전이만명중건인데제가먹고있는피임약혈전발생률이만명중명이라고해도아프리카다콜드체인이다바꿔치기다뭐다하시며제가백신접종을예약해드리려고해도듣지를않고오히려화를내십니다온국민의정도가맞으면집단면역이라고하데요대이상에서백신예약률이퍼센트정도라는데기분이참담하기이를데없습니다누군가가백신맞고발을절단했다는자극적인기사에정작그분께서한참전부터손가락썩도록앓던당뇨병이야기는쏙빼먹고접종을시작하니는이래서안좋다하다가화이자를대량으로들여오자마자화이자는이래서안좋다고맙게도그덕분에부모님은부득불제말을듣지않으십니다언론의위대한성과네요언론사들마다찾아가서전부한대씩때려주고싶어요돈이그렇게좋냐고엄마아빠걱정돼서그래요
근데 이번 킹덤 평가말이야,랩유닛은래퍼가댄스유닛은안무가가보컬유닛은보컬트레이너들이평가해야되는거아님까마득한후배들한터평가받는울애들진심엠넷베네핏주고싶다증말킹덤비투비에이티즈아이콘스트레이키즈더보이즈에스에프나인
MBC <실화탐사대>에서 포항에서 발생한 '여중생 조건...,안녕하세요실화탐사대제작진입니다최근포항에서발생한여중생조건만남폭행관련하여사건을목격하셨거나자세히알고계시는분을찾습니다피해학생을잘아는분가해학생들을잘아는분월일해당학생들을목격하신분월일영일대일대에서해당사건을목격하신분폭행영상을실시간으로보신분전화이메일카카오톡채널
남편이 1박 여행을 안보내줘요,객관적으로답글달아주세요여자둘이한시간반거리여행숙박에대하여안녕하세요작년에결혼한살여자입니다남편은이고요크흠속도위반아님저는미쳐가지고살때부터만나서성인인지금까지쭉어디친구랑둘이놀러가본적이없어요성인이면친구들과여행도한번쯤해볼텐데요그걸못하게하네요자기는젊을때많이놀았으면서저한태절대안됀다고하는데이해가가시나요일찍결혼한업보일까요딱한번만가보고싶은데옛날에남자문제가많았지만결혼한뒤로사고한번도안침누가잘못일까요
남자가 월 세후 583만원 벌면 괜찮은건가요..?,소개팅남이월세후만원정도번다는데대후반이고요이정도면괜찮은건가요
마음이 완전 뒤돌아서서,지를버린사람한테삐졌다고표현하다니하긴똥인지된장인지구분못하니깐니인생이글치계속삐졌다고생각하고니인생살아가려무나별볼일없는인생을가진쓰레기얌
결혼식장에 친구없는 남자 여자보면 기가 차더라 ㅋㅋㅋ,얼마나인맥관리를못했으면그렇게사는거임하객없는거보고쪽팔려죽겠더라
이게 나이 차이인가?,같이일하는사람들끼리이무늬를뭐라고부르는지싸움이남대인나포함해서매니점이랑이두명은뱀피무늬라고하는데대인남자둘여자하나직원은이무늬를체크라고하네이게나이차이야아님내가잘못알고있는거야
페미가 비정상인 이유,정상적인페미니스트들은한남믿었다가살해당함
아마 너도,나만이렇지않을거야너도너무힘들거야밉다가괜찮다가생각안나다가그러다가갑자기아무것도아닌일에갑자기엉엉울어버리기도할거야우리정말이대로그냥인연이끝나야돼
[킹덤]나도 킹덤 개인 취향 픽좀...,비투비킹덤엔없지만성재사실본진임스키즈필릭스님창빈님에이티즈우영님아이콘진환님에셒구인성님덥즈선우님
자식 이름 헷갈려하는 부모 있나요,저희엄만데요맨날저부를때동생이름으로불러요예를들어제가혜지고동생이민정이면꼭저부를때민정까지내뱉다가혜지야이러고가끔씩그러더니요즘따라매번그러셔요동생이한때이걸로엄청화낼때이해못했는데막상당하니진짜기분나빠요말해봐도안통해요너도내나이돼봐라고맞받아치시고하더짜증나는건동생은지금자취하고있고저는하루종일매일보는데도저러심요자존감바닥일때저러시니눈물까지나네요너무너무싫어요
남자들은 못가지면 후려치는거 잇어??,궁금
내가너랑하고싶은거..,그냥너는나랑한번어케해보고말려하는그점오케이인정나도이제너랑관계형성노노그냥뽀뽀나한번하게
전업주부들 화장하세요,아기는없고집에서전업주부하는데저는일절화장안하거든요그런데친구가여자는무조건꾸며야남자가바람안핀다며집에서도화장하라는데다른전업주부들도집에만있어도화장하시나요하는분들은혹시남편땜에억지로하는건가요
지방에서 올라와 서울서 개원한 의사는,몇년안에서울집을살수있을까요그들은기본억이넘는집살가능성이높은사람들이죠아니이미갖고있나부모들이다사줬나
