제목,본문
방탄이랑 에이티즈,참고로 난 아미고 에이티즈 난감하게 하려는 지능안티도 아님 걍 요새 에이티즈 비꼬는 글이 많이보여서 함 써봄 난 처음에 에이티즈에 빅힛연생도 있고 그냥 또 언플용이겠거니 했는데 전문가들도 그렇고 관계자들이 진지하게 그런 얘기하니까 가끔 에이티즈 자컨 조금 찾아보는정도였음왜 학교다닐때 공부 잘하는 특별반 있잖아 방탄이랑 에이티즈 딱 그런느낌임 분위기 휩쓸리지 않고 목표 정해서 으쌰으쌰 잘 가는 분위기임 어제 보니까 에이티즈 목표가 빌보드그래미 가는거라는데 진짜 그래보여 에이티즈도 보면 멘탈이 엄청 단단하구나 느낌 그리고 진짜 너무 어른스럽고 서로 조율을 잘하는것 같음 그냥 어제 에이티즈 밤하늘 듣고 울어서 우리애들 생각나갖고 적어봄 나중에 방탄급으로 따라올 그룹은 에이티즈라고 생각함 대성할 그룹은 그 분위기가 있음 아 글고 항상 투바투 잘 챙겨줘서 고마움 그럼 이만에이티즈 빌보드 윈가 축하
지수가 찍은 뷔 이 거 뭐야,뷔가 하이 하고 있는거 지수가 뷔 보여주면서 따라하는데 이거 합성이야  어떤 외국팬은 합성이라하고 근데 뒤에 옷 비치는거보면 합성 아닌거같고  방탄 방탄소년단 뷔 김태형 블랙핑크 블핑 지수 김지수 
제니 인스타에 카이 쿠마 케이크,졸라귀엽다 제니도 추석 잘보내방금 움짤만들어서 짤 바꿈마지막은 제니 한복짤 
리사 충격적인 국내 조회수 ,이틀만에 억 넘었다는데 국내조회수는 주일간 만  
당신 생각,혹시 알고 있나요당신으로 인해 나 또한 많이 행복하고 또 많이 웃을수 있다는것을요일하다가도 당신이 떠오르면 이것저것 같이 하고 싶은것도많고 그런 당신과 실없는 농담도 하고 장난도 치면서 같이 웃을수 있는 상상을 하다보면 나도 모르게 입가에 웃음이 지어진다는 것을나에게 당신은 매일을 보고싶고 생각이 나는 사람인데 매일을 생각하고 떠올려도 내 마음 속 당신은 떠올릴때마다 예쁘고 사랑스럽고 많이 그런가 봐요언제 어디서든 무얼하든 나는 그런 당신이 참 좋고 자꾸 보고싶고 행복한가 봐요 그런 당신도 나에게 또 누군가에게 힘이 되주고 행복을 주는 고맙고 감사한 사람이라는것을 잊지 말아요알겠죠 오늘 나는 당신에게 진심으로 대하려그동안 노력하던 나의 마음과 시간 그리고 그 외에 모든것들을 오늘 다시 한번 돌아 보려 합니다그동안 더 진해져야 했던 나의 내면의 노력들이 오히려 더 옅어지진 않았을까 하는 부족했던 부분들을다시 한번 진하게 덧칠을 해볼까 해요 나의 흠을 꽁꽁 숨기기 위함이 아닌 부족함이라는 옅은 색위에 성숙함이라는 색을 덧칠해서 나의 부족했던 부분을 좀 더 채우고 또 보완 해보려고 해요연휴 잘 보내고 있죠그래요 잘 보내고 잘 쉬기를 바랄게요그동안 일상에 지치고 힘들었을 당신에게 편안하게 힐링이 되어주는 그런 연휴가 되기를사랑해요 늘
방탄 유엔 엔딩 요정이네,이제 곧 시부터 시작하는 유엔 큐시트 떴는데 방탄 대통령 연설 다음임내가 다 떨려 실시간 중계에서  언급중 
방탄 뷔랑 진 합친 거 개존 잘,근데 왜 누구 닮은것같냐 
시험기간이니까 본진 공부 자극짤 짤 털하자,일이 시험인데 아직 책도 안펴본 아 공부 좀 하자 추석때 수학 끝낸다고한 이 어디갔니 수요일이면 추석도 끝이다 공부 좀 해라 설마 또 등급 받고싶은거니 서치용방탄소년단 엑소 투바투 비투비 엔시티 세븐틴 몬스타엑스 아스트로 갓세븐 엔하이픈 펜타곤 빅톤 엔플라잉 데이식스 더보이즈 원어스  빅뱅 위너 아이콘 트레저 뉴이스트 트와이스 레드벨벳 블랙핑크 있지 오마이걸 러블리즈 우주소녀 이달소 에스파 스테이씨 마마무 여자친구 에이핑크 소녀시대  
헬창 곰돌이 빵 만들었엉,저거 만드는거 개오래걸림  
개인적인 얼굴 합 남돌 여돌 탑,차은우랑 김민주그리고 장원영과 아이돌은 아니지만 송강루 얼굴합 찰떡 
오방은 그동안 왜 그런 거야,사진 잘 찍을 수 있는거였어 
잘 알려지지 않은 내 기준 셀카 잘 찍는 남돌들,트레저 소정환 현석다들 본인만 알고 있는 셀카 잘 찍는 남돌 알려쥬서치용 윤현석 트레저 소정환 방탄트와이스블랙핑크방탄소년단엑소엔시티투바투레드벨벳비투비몬스타엑스아이들오마이걸여자친구아이즈원트레져더보이즈에이프릴에이핑크세븐틴빅뱅하성운씨아이엑스위클리에이티즈엔하이픈
제가 착한 며느리병인 가요,조언 감사드려요좋은 시부모님께 좋은 마음 가지고 앞으로도 잘 지내려 합니다친구들은 멀리 하려해요뭐 눈치없이 제가 다 말하는 거 아니냐는 분도 계시지만음 아무 말 없이 웃어 넘겼던게 태반인데 그 수위가 점점점 높아져 절 안타까워하는 걸 넘어 거의 소설을 만들어 내 말다툼을 하게됐습니다 조언 새겨듣고 가까이 할 인연은 지키고 멀리 할 인연은 거리두며 잘 지내겠습니다여러분 모두 즐거운 추석 보내세요
나 현직 고등학교 교사야 얘들아,대판 거의 년만인 것 같은데질문해주라
이현주 해명 웃긴 점,에이프릴측은 먼저 고소보다는 대화로 해결하려했는데 대형 로펌끼고 법의 심판을 바란건 현주측임 근데 이번에 올린 해명문에서는 자신이 고소 많이 당해서 힘들다는 내용이 반이나 됨 정작 숙소생활 기간 차이 신발 훔쳐 신었다는 것 만원 없어졌다고 멤버들 도둑취급했다 리허설 펑크같은 부분들은 해명 없고 그나마 해명한 내용들 중에서 증거 제출할 수 있는 의료기록은 민감하다고 비난문자는 부모의 입장으로 생각해보니 이해가 된다며 증거 제출 먼저 법정싸움 원한 쪽이 누군데 논리적이지 못하게 아직도 감정에 호소하네 그럴듯하게 길게 써놨지만 결국 대질조사 요청 온 적 없다사건 처진게 거의 개월 전인데 아직도 요청이 없는지 상식적으로 말도 안될 뿐더러 그러면 현주가 요청하면 되지 왜 개월 동안이나 요청을 기다리고 있음 의료기록은 자극적이고 민감해서 공개이미 자살시도라는 민감한 부분은 다 나왔는데 대체 뭐가 더 민감한 부분이 있다는거임 비난문자는 지금 생각해보니 그럴 수 있다는 생각도 들었으니 공개 안할거고 그렇지만 멤버 전원이 원하면 공개할거임그 문자를 에이프릴 부모님 일동이 보낸 것도 아니고 문자를 보냈다는 부모님은 공개를 원한다고 하시는데 왜 굳이 다같이 원해야 공개해야하는거 텀블러는 오해의 소지가 있게 써놨다정정하자면 그때는 살아계셨지만 많이 편찮으셨고 그래서 항상 지나고 다닐 정도로 소중했다그렇게 소중한 텀블러가 몇 달 동은 없어졌고 심지어 상상치도 못한 곳도 아니라 냉장고 안에 있었다고 현주 친구가 말했는데 그렇게 대놓고 있는걸 왜 못찾았을까 불기소결정문은 고소인을 모르는 상태에서 증거를 공개하면 증거 내역이 미리 보여 자신에게 불리하여 가렸다 많은 상황을 고려하여 올린 것애초에 뭐가 그렇게 불리했길래 동생 이름은 실수로 못가렸지만 증거는 꼭꼭 가리고 올렸을까 애초에 개인정보같은 공개할 없는 부분이여서 가린게 아닌 자신에게 불리해서 가린거라는걸 인정한 순간부터 이현주는 자기 잘못 인정한거임 세상에 대중들에게 결정문을 공개하는데 스스로에게 불리한 부분은 가리고 에이프릴에세 불리한 부분만 올리는게 말이 됨 그렇게 따지면 에이프릴도 심리기록지에서는 현주의 행동으로 인해 받은 피해만 의료기록에서는 심각한 병명만 공개하지 자신이 이현주가 싫다는 말과 심각해보이지 않는 병명까지 전문 공개해 비난받을 여지 남겨둔 이유는 뭐냐 게다가 이현주측은 경찰이 괴롭힘을 인정했다는 점이라고 썼는데 디씨와 네이트판에 올라간 글에 의하면 이현주가 따돌림을 당했다는 것은 공공연한 사실 이라는 말과 그냥 따돌림은 공공연한 사실이라는 말이 같나 네이트랑 디씨에서 에이프릴 억까글들을 증거로 제출했으면 그 억까글들로 보아 이현주가 따돌림 당한건 공공연한 사실이라는 것인데 이걸 같다고 생각한거면 독해력에 문재있는거고 둘이 다른걸 알면서도 이번 해명문에도 경찰이 괴롭힘을 인정했다고 쓴거면 조카 뻔뻔한거지 난 에이프릴 팬은 아니지만 맞다고 믿어도 상관없음 어차피 현주 지지자들은 다 현주 응원할텐데 나도 에이프릴 응원하는거 가지고 이건 팬의 미친 망상이다라고 주장하면 그건 자살골이지 릴천지다 에이프릴팬이다 알바다 억지로 까지만 말고 논리적으로 반박할 수 있으면 댓 달아줘 
아 방탄 한국에 맞춰서 인사 해준거봐,사랑스러워 
수빈이랑 아린 키 차이 봐봐,삔 아니었음 아린인지 모를뻔
몬엑이랑 웆소 다영 이 거 개설렘,뭔 빙의글같은데 아까 아이돌라디오에서 다영이 주헌이 미담이라고 직접 말했어몬엑 몬스타엑스우주소녀 다영 
이미지 떡락 중인 그룹, 
 등급이 제일 참담함,공부를 안 한것도 아니고 내딴엔  열심히 했는데 위에는 나보다  열심히 한 애들이 있고 나는 걔네 만큼은 못 하겠고그렇다고 못한다고 버릴 성적은 아니지만 어디다 내주기엔 좀 민망함
남사친이 나 좋아하는 거 같지 않음,누가 내 에스크에 자꾸 걔 이름 언급하고 수상해서 일부러 짝남 주접 떨면서 약간 떠봤는데 저 반응은 백퍼 질투하는 거 아님평소에 걔가 짝남 고민 맨날들어줬었는데 어캄 
얘들아 오징어 게임 이 장면 뭔데 그래,아니 난 못보는데 페북에 떠서무슨 장면인지 그냥 궁금해서 물어본건데싸우네
디시인의 소시 오패스 목격담,년전 우리집은 신촌에서 원룸임대업을 했었음당시 원룸 치고는 나름 보안 철저하게 맹글어 놔서 지방에서 딸래미 올려보낸부모들이 비싸도 방좀 내놓으라고 항상 성화였제 덕분에 성비는 여자들이 월등히 많았음입주한지 달쯤 된 여자애였는데 한달에 몇번씩 도어락 비번을 바꿔달라고 요구하는 귀찮은 애가 있었음방에 메뉴얼 있는데 이게 복잡한지 매번 해달라고 하더라좀 진상끼가 보여서 트집 안잡히려고 조낸 친절히 해달라는데로 해쥼근데 어느날부턴 자꾸 이상한 소리를 해댐자기 없을때 누가 방에 들어오는것 같다면서물론 우리는 모든방을 들어갈수 있는 마스터카드가 있긴 함근데 가슴에 손을 얹고 마스터카드로 아무방이나 들락거리는 무개념 주인이 아니다 우린가끔 비번 안 가르쳐주고 방빼는 애들이나 전기점검 나올때 미리 동의 구하고 들어가는 용도 말곤절대로 다른 목적으로 쓰지 않음근데 그 여자애는 나를 의심하는듯 함하필 시기도 내가 방학때라 거의 원룸은 내가 지키다시피 했을때임부모님이 좋게 말하고 니가 착각한거다 타일러서 내려보냄그러던 어느날얘가 또 엄청 화가 나서 올라옴지가 외출하면서 문틈에 종이를 껴놨고 침대에 이불 모서리도 살짝 접어놨는데 종이는 떨어졌고 이불은 펴져있다고그냥  나를 범인으로 확신하고 올라와서 쌍욕 퍼붐땀 조카게 흘리면서 옥상청소 하고 기분좋게 돈까스 시켜먹고 있는데 이게 나를 빡돌게 함이쯤되니 부모님도 슬슬 날 의심하는 눈치임당시에 가 현관에 개 주차장에 개만 있어서 각층에서 무슨일이 벌어지는지 알수는 없었음과대망상 허언증 걸린년 증거 잡자고 비싼 돈 들여 를 설치할수도 없는일당시 지금의 급 화질도 못되는 내 디카를 비타 박스에 위장해서 그년 복도에 설치했다시간마다 내려가서 메모리를 비우고 와야 되는건 함정근데 일 하니까 이짓도 못하겠더라근데 일째 사고가 터짐신발꼭 이래그날은 여자애가 아니라 경찰이 먼저 우리집 문을 노크함방 안을 봤더니벽 천지에 반짝이가 묻어있는거임 여자들 화장할때 쓰는 펄 같은여자애는 며칠 고향에 내려가면서 문 손잡이에 지 화장품 펄을 묻혀놓고 간거임 범인 잡겠다고이게 잘 안지워지니까 범인이 자기방으로 돌아갈때 흔적을 남기길 바라면서근데 그 범인인 마치 이 여자애를 조롱하듯이 방 안 온 벽 천장 바닥에 펄을 찍어놈경찰이 내 방에 들어와서 키보드 마우스 서랍 손잡이 수도꼭지 심지어 변기 물내리는 레버까지 펄 묻어있는지 조사함당근 없지  난 그냥 돈까스만 쳐먹고 있었는데일동안 비운 방 세면대는 방금 누가 샤워한듯 아주 촉촉하게 젖어있고 비누는 불어있더라결국 난 참고인 신분으로 경찰서가서 조사 받고옴 젊은 남자인 죄년대 학교 앞에서 막걸리 마시다가 이유도 모르고 남산에 끌려간 아재들 기분이  이랬을까집에와서 혹시나 하는 맘에 디카에 뭐가 찍혔나 돌려봤는데일째 되는날 밤 시쯤 그 여자애 남친이 비어있는 그 여자애 방에 들어가는거임일째 영상엔 없고일째는 안찍었으니 당연히 없고수상하잖아경찰서 사건의 전말은여친을 공포에 몰아넣고 지 자취방에 불러들일 목적으로 남친새끼가 벌인 짓들이었음여친이 학교 간 사이 몰래 여친 방에 들어가서 수상한 흔적들을 남기는 공을 들이길 한달여친이 이상함을 눈치챘고 남친한테 말을하면 이새낀 막 잔인한 원룸 살인사건 같은 얘기들을 해주며겁에 질린 여친한테 무서우면 오늘 여기서 자고가도 돼최종 목표는 동거였고 그 클라이막스가 그 날이었던거임여친이 방문에 부비트랩을 설치한 얘기를 듣고 발라 놓은 펄보다 더 많은 양의 펄을 손에 떡칠해서방안에 도배해놈세면대 이불 다 그새끼 짓여친이 극한의 공포를 느끼면 자기랑 동거 할거라 생각함좀 소름 돋는건 경찰 온 날 그새끼가 지 여친 감싸안고 조카 자상하게 위로해쥼지 여친이 무서워 하면 할수록 이새낀 자상하게 위로하면서 대가리로는 또 어떻게 겁줄까 졸라리 궁리했을거 아냐결국 남자새낀 고소미 먹고 여자애는 휴학함소름 
또 소속사 사장한테 홀릴 뻔한 아이돌,열심히 연습하는 멤버들에게 다가가는 어둠의 손길오늘도 요구사항이 많은 사장님곤란해하는 아이돌발캡 아님 실제 효과가 저래차마 눈 뜨고 보지 못하는 멤버들쭈왑쭈왑나이스타이밍에 아쉬워하는 사장님결국 한 멤버의 소신행동스티커가 되어버린 사장님광야에서는 무슨 일이 벌어지고 있는걸까
리정 틱톡커 발언은 한 번도 아니고 좀,리정 유명 크루 출신이라는 자부심 있는건 알겠는데 누구는 아이돌이다 누구는 틱톡커다 이러면서 은근히 급나누는 말투는 별로임아이키님은 연예인이라고 생각한다 이 발언도 아이키는 연예인이니까 더 유리하다고 미리 가드올리려는것 같고도 대기업 후원받고 블핑팬들 지원사격 받으면서 속좁게 굴지 않았으면 
한국협회 중 광기에 가깝게 일을 해낸 협회, 
여자 키 이면 심각한 거임,제곧내여자고 키 이면 인상에 마이너스 될 정도로 심각한거야
최근 년간 케이팝 아이돌 유튜브 전세계 조회 수 순위,남자아이돌위 방탄소년단 억 조회수위 스트레이키즈 억 조회수위 세븐틴 억 만 조회수위 엑소 억 만 조회수위 드림 억 만 조회수위 투모로우 바이 투게더 억 만 조회수위 빅뱅 억 만 조회수위 트레저 억 만 조회수위  억 만 조회수위 엔하이픈 억 만 조회수위 샤이니 억 만 조회수위 몬스타엑스 억 만 조회수위 데이식스 억 만 조회수위 슈퍼주니어 억 만 조회수위 더보이즈 억 만 조회수여자아이돌위 블랙핑크 억 조회수위 트와이스 억 만 조회수위 있지 억 만 조회수위 아이유 억 조회수위 마마무 억 만 조회수위 레드벨벳 억 만 조회수위 에스파 억 만 조회수위 여자아이들 억 만 조회수위 오마이걸 억 만 조회수위 태연 억 만 조회수위 청하 억 만 조회수위 이달의 소녀 억 만 조회수위 브레이브걸스 억 만 조회수위 선미 억 만 조회수위 드림캐쳐 억 만 조회수 
슬픈 짝 사랑 썰 풀어보자,본인이 경험 해본 슬픈 짝사랑 썰 댓글로 한번 풀어보자 
스키즈 이것 좀 봐주라 개웃김,아 진짜 진짜 개웃김  
투바투 범규 장발,투바투 범규 장발 진짜 잘 어울리는데 뭔가 예뻐 예쁘게 어울림 잘생기게 어울리기도 한데 예쁘게 어울려 뭔가 귀여워 예뻐 처음에는 장발은 짧머에 비하면 별로라고 생각햇는데 보다보니까 잘 어울려 짧머는 짧머대로 어울리고 장발도 장발대로 어울리는듯 
서수진이 뭘 잘못함,팀에 피해 준다고 자진 탈퇴까지 했는데 왜 아직도 서수진 머리채를 잡아 얼마 전에 슈화도 브이앱에서 수진 언급하고 울컥하는거 보였는데 이제 수진좀 놔줘라 
소녀재판 황윤혜 레즈였네,대박 전혀 생각하지도 못했음 근데 개이쁘다뷰티 화장 아라 틴트
요즘 중딩들  충격이 다,친구기다리다가 옆에 담배 피는 중딩들많게 봐줘도 중였음  대화 듣게 됐는데 어떤 남자애가 아 조카 따먹고싶어  이러는 거임 다른 남자애가 누군데 걘 이러니까 중 모르냐 맛있게 생겼어 그년  이러더라 나 진짜 경악하면서 그 자리 떠남 꼰대가 왜 생기는지 알거같음지역 대신전해드립니다에 중학교 학생 주변 남자애들 조심하라고 올리고싶은데 그건 좀 아닌거같아서 관둠  
왜 조 두 팔 욕할 땐 신나 죽을라 했으면서,조두팔이 저격하니까 갑자기 관심없대진짜 조카 얼탱없네
자기가 못 가지는 여자,내려치기 하고 가스라이팅 하는 남자 심리는 뭐야내가 못 가진 게 아니라 별로인 여자라 내가 안 가진 거다 뭐 이런 거야진짜 찌질하다
아미쳤 나 셔누가 디에잇 살짝 치면 ,즉사랜다디에잇이 되게 종이인간인 편인가봐몬스타엑스 세븐틴 
전업일 때 남녀가 달라야 하나요,여자가 주부일때 한 일육아 프로 아침 저녁 메인반찬과 찌개 탕 새것 아침 메인이 생선이었으면 저녁은 육고기 등청소 빨래 장보기 쓰레기버리기 모두 함아기 살때 전 회사에서 독립한 사람이 필요하다 사정해서 연봉 칠천에 복직하기로 함 거의 같은 시기에 남편 실직 코로나로 인한 정리해고남편이 육아 담당하고 전업 하기로 함평소에 아내의 살림에 만족 못하고 시어머니와 자주 비교육아 프로 담당함너무 못하겠다 난리쳐서  주고 하루 시간 대 시터가 와서 봐주시게 됨아침 시리얼 저녁은 차리긴 하는데 메인반찬 없이 고기 들어간 탕이나 찌개 하나만 달랑 밑반찬 사옴청소 빨래 쓰레기 미뤄서 다툼이 생기게 됨  현질로 한달에  가까이 씀 제가 남편과 살아야 할까요 복직해서 요즘 트렌드 따라잡느라 힘든데 야근하고 오면 집 개판입니다남편이 남자들 의견도 들어보라며 결시친 아닌 남편아내 판에 올려보라 해서 올립니다남편입장육아나 살림에 남자가 익숙치 않은거 당연한데 자기가 했을때보다 못한다며 닦달해서 저도 답답합니다어머니가 혼자 사셔서 저희집 들어와 살면 애도 봐주고 식사도 도와주실텐데 처가명의 집이라며 그것도 거부하네요집 해왔다 유세부리고 돈번다고 남자 우습게 아는것 같아서 저도 헤어질까 고민중인데 실직한 상태라 소중한 아들 뺏길것 같아서 그러진 못하겠습니다저희 어머니가 시집살이 시키실 분도 아니고 방도 애가 아직 작아서 안방 서재 쓰고도 하나 남습니다 화장실도 두개고요결혼 후 소변 앉아서 누게 할때부터 저를 내리누르려 하는게 느껴졌는데 두살 연상이라 그러려니 하고 넘어간게 후회되네요그리고 저희 어머니가 요리 잘하셔서 그거에 대해 말한거지 자주 비교한건 아닙니다 당시 저 일하는데 양복입고 쓰레기 버리며 출근하기 싫어서 우리엄만 이런거 다 혼자 하셨다 라던가 말한게 무슨 비교입니까남편아내판에 올리니 댓글이 별로 안달렸어요 남편이 것봐라 별일 아니니 사람들이 관심 안보인다 해서 화력 센 결시친 에 올립니다
노제 진짜 많이 부었구나 ,볼 저정도인줄은 몰랐네 
트위터 현자, 
얘들아 나 첨해봤는데 잘했다니께  칭찬 좀,내가 신기록 세움 움하하누가 너희 괴롭히면 불러 내가 패줄게판녀 보디가드  
아이들이 좋아하는 음식 잔뜩 산 아주머니, 
방탄 메건 인스타 좋아 욬,젠다야랑  칼리드 다있네 
방탄 빅뱅 팬들 들어와 바,아니 나 타팬인데도 개빡쳐서 글 한번 써볼게빅뱅 무대 개인적으로 좋아해서 마마나 이런 무대도 많이 찾아보고 하는데 영상마다 꼭 있는 댓글이 뭔지 앎아무리 지금 방탄이 잘 나가도 빅뱅한테는 안됨뭐 급이 다름이러면 당연히 기분나빠서 아미들이 뭐라고 하면 잼민이취급방탄팬들이 빅뱅 견제하는 줄 앎적당히 좀 해야지 방탄팬들이 방탄영상에서 옛날에 잘나갔던 빅뱅보다 방탄이 더 대단함하면서 빅뱅 언급하는거 봄나 진짜 어이가 없어서 그래 빅뱅팬들 수준 왜그럼 타팬맞고 인증하라고 하면 할게일단 분전에 보고 개빡쳐서 글 쓰게 만든 댓글임 
인턴은 돈 내고 탕비실 이용하라는 회사, 
에이티즈 우영 잘생기지 않았냐,아니개췬데 좀 잘생김 나만 그러냐얼굴형이랑 콧대 진짜 예쁘고키 대 라는 거 듣고 놀랐음 다리가 정말 길고 비율 좋은 듯
제사 주려는 시 어머니,결혼 년차입니다맞벌이고 애는 아직 없어요시댁에 설날 추석 시아버님 기일일년에 번 제사를 지내는데몇년 전부터 어머니가 저만 보면 제사 가져가라 하십니다몇번은 못들은척 대답안하다가한번은 못참겠어서 일하면서 제사 지내는거 부담된다 못한다 말씀드렸었는데 그후로 몇번은 그런말씀 안하시다가이번에 갔는데 다시 얘기하시더라구요제사 가져가라고신랑은 가져온다해도 당장 옮길수 있는것도 아니고일어나지도 않은일을 왜 걱정하냐고 짜증내요솔직히 음식하는게 일년에 번 하는게 힘든건 아니에요 그냥 제사때 일을 쉬거나 일마치고 와서 해야하는건데서비스 직이라 명절에 맞춰쉬는것도 불가능은 아니지만눈치보이는것도 있고 휴무 못맞추면 시에 일마치고 집오면시 분부터 음식하고 해야하는건데 생각만해도 너무 부담됩니다신랑이랑 시어머니한테도 이렇게 얘기하는데안들리나봐요 살려주세요
수진 팬들이 묵살하려고 하는 폭로자,학폭위 부분 물고 늘어질까봐 그부분은 뺌이 분도 결과적으로는 인증하고 폭로했던 폭로자임투명인간 취급그만해 수진 아이들 에이프릴 권민아 학교폭력 서수진여자아이들 학폭연예인 아이돌 
포르투갈의 아이스크림,우리는 이걸 거북알이라고 부르기로 
딸 결혼시키고 나니 명절 문제,안녕하세요얼마전 딸을 결혼시킨 엄마입니다저는 시부모님이 살아계서 명절에 시댁에 갑니다남편이 성묘를하고오면 보통 시경이되어그때 점심을차려먹으면 시치우고 이거저것차 한잔마시면 시가 됩니다딸이 결혼전에는 딸 아들 며느리 다 제 시댁에서 같이있다가거기서 오후시경에 아들은 처가로가고저희식구도 제 친정에 들렸다 집에 왔는데이번에 딸이 결혼하고 처음맞는명절인데딸 시댁이 저희집과 가까운지역이라 한 두시경에 도착이라고 연락이왔더라구요그때 저는 시댁에 있었고 시누이도 올예정이고저희 친정도 가야하고  그래서 친정은 포기하고 나갈까하는길에 시누를 만나시누네식구 차한잔주고 이것저것 얘기하다보니 시좀넘어서 출발했는데 집에오니 네시가 다됐더라구요빈집에 사위와 딸이 와있는데 집에서 반겨주지못해 내심 미안했습니다남편은 고지식한 사람이라 명절당일에 시댁이랑 성묘는 꼭 가야한다는입장이고 시부모님중 한분이 돌아가셔서 제사를간단히 지냅니다 그러면 무조건 시라는건데시부모님만 안계셔도 저희집에서 명절보내니아들도 딸 만나고갈수있고 저희도걱정이없는데시부모님이 살아계신상태에서 자식들을 출가시키니이런것도 걱정이네요앞으로 어떻게해야할지 걱정인데 조언좀 해주시면 감사하겧습니다톡선에올라서 추가하자면시부모가 살아계시는한 우리도뵈러가야하며설령 돌아가시더라도 제사랑 성묘는해야되기때문에안갈수가없는 제 남편은 장남입니다장남의식같은거 있는 옛날사람이고교회집안이라 교회가서 예배드리는걸로 제사를 대신하는데 예배시간이 정해져있어서 그거하고 성묘하고오는 일정이구요그래서 시간을 앞당기거나 할수없다고한거고점심안먹고 간다하면 혼자계신 시부모님이 과연 이해해줄까싶기도했고저도며느리니 시부모님 예배는 해야되고제일문제는 남편이죠서방님이랑 동서가 당일에 온댔더니 지엄마 명절에혼자있는거 가슴아파 죽겠다며 아들내외 오는것도안보고 전날 지혼자가서 잔사람이니까어떻게든 사위오기전에 집에가있는것이 도리니잘 얘기해봐야죠 조언감사합니다
서울애들은 잠와라고 안함,잠와 아니고 졸려 쓴다는뎅 나 경상도인데 졸려 쓰면 귀척하는 이미지 잇단 말야 
이런 패션 진짜 나이 들면 다 입는 건가,내가 스무살이라서 잘 모르겠는데 진심 강남 토익학원 다니면 점심시간에 이렇게 입은 여자 직원들 개많아 그냥 블라우스에 슬랙스가 전부인데 진심 줌마티남 왜 그런거지 나이들면 그런티가 저절로 나는건가 아니면 옷 자체에 문제가 있는건가 이해안감 꼭 대들이 저렇게 입더라 그리고 그 이상한 꽃무늬의 칙칙한 색 원피스 이것도 진짜 왜입는지 모르겠음 그 꽃무늬 원피스 자체가 촌티나고 쿠팡에서 원 줬을법한 재질임 아니 진짜 문맥파악 드럽게 못하네 내가 회사갈때 오바떨면서 왜 안꾸미냐 이렇게 핀잔준것도 아니고 유튜브에 직장인 브이로그 보면 다 세련되고 깔끔한 오피스룩 딱 알맞게 입는데 저 사진애선 쿠팡에서 산 싼티나는 옷들만 있으니까 의아해서 물어본거임 그리고 토익학원 다닌다고 뭐라하는 애들은 즈그들 토익 몇이나 되는지 안봐도 뻔함 이제 살짜리한테 취업 어쩌구 얘기하는거 자체가 코미디네  그리고 요즘 대들 지하상가에서 안사입어 어휴  
담주 스우파에 라치카,탈락하나아 가비언니 울지마 제발내 맴 찢어져 뷰라치카 탈락 아니면 진짜 다행인데스우파 예고 보면 진짜 댄서들 다 울고 조회수 때문에 맘고생한거 보이고 지금까지 걸어왔던 길이 부정당하는 느낌이라고도 말함암넷아 진짜 댄서 분야 탑들을 모아놓고 왜 이딴식으로 쪼냐 제발떨어졌네
조두 팔 땜시 네이트 판 이미지 대 것 네, 그러니 누가 조두팔 까랫냐 
와 장원영 조카존나 예쁘다,와진짜 미친거 아니냐 공주같음 
